EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	19:08:30	0	0.0200	3.2969484404637077	2.5395164489746094	0.0	0.0	0.0	0.0
2	19:08:33	0	0.0200	1.7570195256147814	1.0285296440124512	0.0	0.0	0.0	0.0
3	19:08:36	0	0.0200	0.6476489085625268	0.6182897686958313	0.0	0.0	0.0	0.0
4	19:08:39	0	0.0200	0.45595935838654095	0.5639685392379761	0.0	0.0	0.0	0.0
5	19:08:43	0	0.0200	0.42455598130443206	0.5313323736190796	0.0	0.0	0.0	0.0
6	19:08:46	0	0.0200	0.40919560177455117	0.4986116588115692	0.0	0.0	0.0	0.0
7	19:08:49	0	0.0200	0.3952672982424797	0.4766892194747925	0.0	0.0	0.0	0.0
8	19:08:52	0	0.0200	0.37993420778010795	0.45732519030570984	0.0	0.0	0.0	0.0
9	19:08:56	0	0.0200	0.3649781812687006	0.4490715563297272	0.0	0.0	0.0	0.0
10	19:08:59	0	0.0200	0.35652668401200843	0.44239985942840576	0.0	0.0	0.0	0.0
